img_id,father,mother,pgf,pgm,mgf,mgm
395600,,,,,,
395592,,,,,,
395589,,,,,,
387339,B01-6135286,AU03,B97-6162340,B97-6162118,NL96-1340270,
386059,,,,,,
385936,,,,BE00-3195099,BELG1990-3119128,BELG1992-9238276
385933,,,,,,
385925,,,B00-6141444,B00-6440232,B05-6045015,B03-6086031
385895,,,B98-6160968,B95-6302321,B01-6521675,B98-6110708
385856,,,,,,
385854,,,,,,
385852,,,,,,
385848,,,,,,
672446,,,,,,
518383,,,,,,
672452,,,,,,
518411,,,,,,
673874,,,,,,
518397,,,,,,
673872,,,,,,
518413,,,,,,
672453,,,,,,
518263,,,,,,
672456,,,,,,
673873,,,,,,
674482,,,,,,
672450,,,,,,
672449,,,,,,
672448,,,,,,
672444,,,,,,
672442,,,,,,
670102,,,,,,
673875,,,,,,
674502,,,,,,
674501,,,,,,
674500,,,,,,
674499,,,,,,
674496,,,,,,
674495,,,,,,
674494,,,,,,
674491,,,,,,
674488,,,,,,
674486,,,,,,
674483,,,,,,
631939,,,,,,
628387,,,,,,
518417,,,,,,
518418,,,,,,
566674,,,,,,
521005,,,,,,
557700,,,,,,
518416,,,,,,
566673,,,,,,
518262,,,,,,
518420,,,,,,
682475,,,,,,
682464,,,,,,
600186,,,,,,
599901,,,,,,
600179,,,,,,
599415,,,,,,
599174,,,,,,
595084,,,,,,
592815,,,,,,
400766,,,,,,
393775,,,,,,
393733,,,,,,
393723,,,,,,
41265,,V94,,,,
31302,B94-6077533,B966177808,,,,
254205,,,,,,
329055,,,,,,
71438,,,,,,
682476,,,,,,
682469,,,,,,
599556,,,,,,
592816,,,,,,
461744,,,,,,
400767,,,,,,
393724,,,,,,
373247,,,,,,
360858,,V94,,,,
329056,,,,,,
208069,B04-6458871,B04-6458802,,,,
71456,,,,,,
682477,,,,,,
682472,,,,,,
682470,,,,,,
599913,,,,,,
592818,,,,,,
494732,,,,,,
393722,,,,,,
384446,,,,,,
329058,,,,,,
208071,,B04-6458802,,,,
682473,,,,,,
682471,,,,,,
599896,,,,,,
592820,,,,,,
457323,,,,,,
203720,,,,,,
329059,,,,,,
683622,,B08-3192649,B98-3158062,,B01-3003333,
682474,,B13-2053471,,,,
592819,,,,,,
507093,,,,,,
457330,,,,,,
457324,,,,,,
361875,,V94,,,,
329061,,,,,,
683623,B06-3008003,B07-3199953,B98-3158062,B00-3195099,B05-4082656,B04-3069721
362750,,,,,,
592822,,,,,,
507096,,,,,,
451857,,,,,,
360041,,V94,,,,
205545,,CHN2009-01-168006,,,,
360880,,,,,,
683624,,B08-6245034,B98-3158062,B97-6539152,,B02-6121605
595080,,,,,,
592824,,,,,,
403240,,,,,,
360884,,,,,,
683625,,,,,,
595081,,,,,,
451551,,,,,,
683627,,,,,,
595082,,,,,,
379239,,,,,,
360891,,,,,,
595083,,,,,,
457326,,,,,,
360894,,,,,,
360896,,,,,,
360899,,,,,,
451590,,,,,,
507101,,,,,,
489815,,,,,,
457318,,,,,,
457319,,,,,,
457320,,,,,,
457322,,,,,,
457325,,,,,,
457327,,,,,,
457328,,,,,,
439862,,,,,,
599432,,,,,,
599175,,,,,,
599549,,,,,,
599196,,,,,,
599798,,,,,,
599401,,,,,,
599506,,,,,,
599507,,,,,,
599514,,,,,,
599554,,,,,,
599557,,,,,,
599799,,,,,,
599899,,,,,,
599900,,,,,,
