img_id,ancestor,contribution
148594,B00-6534281,0.5
148895,BE03-4431181,0.5
148895,BE05-4333360,0.5
149410,B00-5271057,0.5
149410,B93-5010010,0.25
149410,B93-5010004,0.25
149410,B03-5071666,0.5
149411,B92-5000631,0.5
149411,B95-5052496,0.5
149421,B92-6241976,0.5
149421,B02-5051207,0.25
149421,B86-6260314,0.5
149869,NL97-2433008,0.5
149869,NL96-1607140,0.25
149869,NL94-2413022,0.25
149869,NL91-1442581,0.5
149869,NL85-461235,0.25
149869,NL90-1790062,0.25
150519,B00-3046702,0.5
150519,B05-3182278,0.5
150535,B04-3173462,0.5
150535,B98-3013162,0.5
150566,NL02-1129952,0.5
150566,NL2003-1931715,0.5
150569,C96-479409,0.5
150569,B85-6379890,0.25
150569,C91-1227424,0.25
150581,B06-3175954,0.5
150581,B02-3069776,0.5
150606,B03-6381698,0.5
150606,B01-6370331,0.25
150697,B04-6095860,0.5
150697,B99-6000159,0.25
150697,B96-6286083,0.25
150697,B03-6086005,0.5
150697,B02-6183649,0.25
150697,B95-6246005,0.25
150697,B90-6652120,0.125
150697,B93-6621023,0.125
150718,C96-479409,0.5
150718,B85-6379890,0.25
150718,C91-1227424,0.25
150930,C96-479409,0.5
150930,B85-6379890,0.25
150930,C91-1227424,0.25
150932,C96-479409,0.5
150932,B85-6379890,0.25
150932,C91-1227424,0.25
150933,C96-479409,0.5
150933,B85-6379890,0.25
150933,C91-1227424,0.25
150934,C96-479409,0.5
150934,B85-6379890,0.25
150934,C91-1227424,0.25
150937,C96-479409,0.5
150937,B85-6379890,0.25
150937,C91-1227424,0.25
150943,C96-479409,0.5
150943,B85-6379890,0.25
150943,C91-1227424,0.25
153183,NL98-2588500,0.5
153183,NL93-2101473,0.5
153376,BELG2001-4383206,0.5
153376,BELG1991-4261261,0.5
153656,NL05-1909293,0.5
153656,BE00-6367184,0.25
153656,NL02-5255446,0.25
153656,NL99-2585526,0.125
153656,NL04-5435151,0.5
153656,NL00-1122178,0.25
153656,NL99-1585505,0.25
154762,B97-6355026,0.5
154762,B93-2434274,0.25
154762,B92-6074663,0.25
154762,B99-6366880,0.5
155051,B06-4112284,0.5
155051,B03-4146093,0.25
155051,B94-4421875,0.25
155051,B06-6154869,0.5
155051,B03-6226201,0.25
155051,B04-6231792,0.25
155057,B07-4253815,0.5
155057,B04-4431710,0.25
155057,B05-4333735,0.25
155057,B05-4333769,0.5
155057,B04-4277227,0.25
